yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,169,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,49902,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,12265,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,4424,35.8885993,14.4476911,,
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,598122,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,101149,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,798999,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2283,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1002056,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,146673,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,939938,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3663179,35.8885993,14.4476911,,
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, Cyprus, Cyprus,2198,35.8885993,14.4476911,,
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,380,35.8885993,14.4476911,,
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,280,35.8885993,14.4476911,,
2015,2015,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,2207,35.8885993,14.4476911,,
