yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,6034,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,23344,31.1667049,36.941628,37.977378106878206,73.97804075806764
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,886807,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,12181,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,70484,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,382096,31.1667049,36.941628,59.36075159783851,25.01346951967388
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,105305,31.1667049,36.941628,10.528384761701911,103.08333472012376
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1229220,31.1667049,36.941628,40.12399607988535,20.742583178432696
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2974793,31.1667049,36.941628,26.42921218083572,52.86847103284948
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3254508,31.1667049,36.941628,47.92172048214207,7.866753258497997
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,11382297,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,68642,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,14212,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,117086,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,6537,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin, State of Palestine, State of Palestine,7663,31.1667049,36.941628,,
2004,2004,Import,Jordan,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,2223387,31.1667049,36.941628,,
