yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,104683,31.17,-7.33,37.977378106878206,73.97804075806764
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,486431,31.17,-7.33,17.925141963241547,-78.01492950057497
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,293591,31.17,-7.33,43.897683433510366,-100.08947125585888
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,6060144,31.17,-7.33,6.06272746187266,22.727528470146083
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,69043,31.17,-7.33,47.92172048214207,7.866753258497997
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,49224520,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,196045,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,127741,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,5443624,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,454864,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,7044011,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,2805093,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,770820,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,813966,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,692389,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,17262836,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1606069,31.17,-7.33,,
2004,2004,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,4953255,31.17,-7.33,,
