yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1063550,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1232146,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,3551,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,15757,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,220750,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,42337,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,123287,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,462415,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,42,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,4940151,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2280359,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10559695,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,17016,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,21818,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,75240,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,0,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,1694,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,3,32.3293809,-83.1137366,,
2020,2020,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,59557,32.3293809,-83.1137366,,
