yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,1185654,30.3308401,71.247499,39.89317229901691,61.060280637304274
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1796330,30.3308401,71.247499,51.67568633314729,27.673469819741847
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,2358504,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,197298,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,102467,30.3308401,71.247499,10.528384761701911,103.08333472012376
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,222977,30.3308401,71.247499,40.12399607988535,20.742583178432696
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,4341181,30.3308401,71.247499,6.06272746187266,22.727528470146083
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sudan,Sudan,218779,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,18497066,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Afghanistan, Afghanistan,5190347,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Algeria, Algeria,56378,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Armenia, Armenia,116068,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,240681,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Djibouti, Djibouti,812998,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,194341,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,234642,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,367168,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,44646,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,478574,30.3308401,71.247499,,
2014,2014,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,280892,30.3308401,71.247499,,
