yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,16119,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,7516062,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1752,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,4272784,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,130418,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin,World,World,20473795,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Comoros, Comoros,150,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,5853790,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,46840,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,100,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,1567528,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,25156,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,797800,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,1263,16.3471243,47.8915271,,
2008,2008,Export,Yemen,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,244034,16.3471243,47.8915271,,
