yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,149000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,859000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,4359000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,2170000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,12034000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,5629000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,1478000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,4048000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,3000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,1652000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,31629000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,64077000,30.8124247,34.8594762,,
2009,2009,Import,Israel,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,1000,30.8124247,34.8594762,,
