yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,72902676,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,864776,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,971468,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,18346186,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,5504794,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,3502209,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,191758557,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,10908435,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,393051,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,677303,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,67442,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2858615,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,68875442,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,493864974,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,496554,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,156999,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,1855426,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,13553,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,101836,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,910157,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,1339967,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,520,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,36604492,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,59848860,21.0000287,57.0036901,,
2008,2008,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,1825364,21.0000287,57.0036901,,
