yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,5006734,26.82,18.12,51.67568633314729,27.673469819741847
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,667857,26.82,18.12,,
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,44341,26.82,18.12,59.36075159783851,25.01346951967388
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,3810366,26.82,18.12,40.12399607988535,20.742583178432696
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,85000,26.82,18.12,6.06272746187266,22.727528470146083
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,78438,26.82,18.12,,
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1074871,26.82,18.12,26.42921218083572,52.86847103284948
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,9115,26.82,18.12,47.92172048214207,7.866753258497997
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,World,World,10955477,26.82,18.12,,
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Algeria, Algeria,7750,26.82,18.12,,
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,11000,26.82,18.12,,
2017,2017,Import,Libya,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,160000,26.82,18.12,,
