yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,363762098,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,72999784,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,211363755,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,2378961,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,320415847,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,420334131,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,69415469,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2632172,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,381858345,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,7491969,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,3442830,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,63329526,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,225268979,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,2402301836,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,6278663,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Azerbaijan, Azerbaijan,2290164,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,1156,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,40,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,3699,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,53347,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Libya, Libya,373038,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Mauritania, Mauritania,221642,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,391,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,20031266,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,437471,31.1728205,-7.3362482,,
2008,2008,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,28201,31.1728205,-7.3362482,,
