yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,2,32.3293809,-83.1137366,-16.85099460447687,133.4130365630627
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,4,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1014540,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,954204,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,213,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,122661,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,379309,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,56605,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,474216,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,562643,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5122373,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1464542,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10376800,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,74674,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,442,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,38,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,21692,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,5273,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,118009,32.3293809,-83.1137366,,
