yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Western Asia,Asia,22965,31.1667049,36.941628,26.42921218083572,52.86847103284948
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,World,World,2700301,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ..., Bahrain, Bahrain,1410,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ..., Iraq, Iraq,813402,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ..., Saudi Arabia, Saudi Arabia,43691,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ..., State of Palestine, State of Palestine,73061,31.1667049,36.941628,,
2003,2003,Re-Export,Jordan,63,Other made up textile articles; sets; worn clothing and worn textile articl ..., United Arab Emirates, United Arab Emirates,45280,31.1667049,36.941628,,
