yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,2511398
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,15372
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,7062159
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,301562
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,158038
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,3406317
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,5000
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,1291691
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,17390
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2945655
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,2474628
2005,2005,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,World,World,20291880
