yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,35106,31.46242095,34.262716572130714,-16.85099460447687,133.4130365630627
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,45543,31.46242095,34.262716572130714,37.977378106878206,73.97804075806764
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,2427196,31.46242095,34.262716572130714,51.67568633314729,27.673469819741847
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,19963,31.46242095,34.262716572130714,19.569604022535763,12.47761721199581
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,30000,31.46242095,34.262716572130714,43.897683433510366,-100.08947125585888
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,13675,31.46242095,34.262716572130714,59.36075159783851,25.01346951967388
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,115689,31.46242095,34.262716572130714,10.528384761701911,103.08333472012376
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,17325,31.46242095,34.262716572130714,25.499703063807168,75.5024015339642
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,483205,31.46242095,34.262716572130714,40.12399607988535,20.742583178432696
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,9980459,31.46242095,34.262716572130714,26.42921218083572,52.86847103284948
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1249318,31.46242095,34.262716572130714,47.92172048214207,7.866753258497997
2012,2012,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,65591040,31.46242095,34.262716572130714,,
