yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,141508
2005,2005,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,34893
2005,2005,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,87684
2005,2005,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,264085
