yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Export,Bahrain,World,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14602114.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2015,2015.0,Export,Bahrain,Sri Lanka,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14299.0,,26.1551249,50.5344606,7.5554942,80.7137847
2015,2015.0,Export,Bahrain,France,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13871.0,,26.1551249,50.5344606,46.603354,1.8883335
2015,2015.0,Export,Bahrain,Indonesia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",353822.0,,26.1551249,50.5344606,-2.4833826,117.8902853
2015,2015.0,Export,Bahrain,Iraq,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",124399.0,,26.1551249,50.5344606,33.0955793,44.1749775
2015,2015.0,Export,Bahrain,Jordan,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",531.0,,26.1551249,50.5344606,31.1667049,36.941628
2015,2015.0,Export,Bahrain,Kuwait,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",382432.0,,26.1551249,50.5344606,29.2733964,47.4979476
2015,2015.0,Export,Bahrain,Lebanon,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2328.0,,26.1551249,50.5344606,33.8750629,35.843409
2015,2015.0,Export,Bahrain,Liberia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1653.0,,26.1551249,50.5344606,5.7499721,-9.3658524
2015,2015.0,Export,Bahrain,Mauritius,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",78327.0,,26.1551249,50.5344606,-20.2759451,57.5703566
2015,2015.0,Export,Bahrain,Oman,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2924755.0,,26.1551249,50.5344606,21.0000287,57.0036901
2015,2015.0,Export,Bahrain,Nigeria,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",157503.0,,26.1551249,50.5344606,9.6000359,7.9999721
2015,2015.0,Export,Bahrain,Marshall Isds,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",879.0,,26.1551249,50.5344606,,
2015,2015.0,Export,Bahrain,Pakistan,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",587.0,,26.1551249,50.5344606,30.3308401,71.247499
2015,2015.0,Export,Bahrain,Philippines,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",7399.0,,26.1551249,50.5344606,12.7503486,122.7312101
2015,2015.0,Export,Bahrain,Qatar,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4097684.0,,26.1551249,50.5344606,25.3336984,51.2295295
2015,2015.0,Export,Bahrain,Saudi Arabia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3303327.0,,26.1551249,50.5344606,25.6242618,42.3528328
2015,2015.0,Export,Bahrain,Seychelles,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6801.0,,26.1551249,50.5344606,-4.6574977,55.4540146
2015,2015.0,Export,Bahrain,India,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",276041.0,,26.1551249,50.5344606,22.3511148,78.6677428
2015,2015.0,Export,Bahrain,Singapore,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1109.0,,26.1551249,50.5344606,1.357107,103.8194992
2015,2015.0,Export,Bahrain,Viet Nam,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",87749.0,,26.1551249,50.5344606,15.9266657,107.9650855
2015,2015.0,Export,Bahrain,South Africa,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",28419.0,,26.1551249,50.5344606,-28.8166236,24.991639
2015,2015.0,Export,Bahrain,United Arab Emirates,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2290542.0,,26.1551249,50.5344606,24.0002488,53.9994829
2015,2015.0,Export,Bahrain,United Kingdom,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11537.0,,26.1551249,50.5344606,54.7023545,-3.2765753
2015,2015.0,Export,Bahrain,Bunkers,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3074.0,,26.1551249,50.5344606,42.18544695,-71.13717580263157
2015,2015.0,Export,Bahrain,Free Zones,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4315.0,,26.1551249,50.5344606,5.57675525,-0.1653113957934536
2015,2015.0,Export,Bahrain,USA,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",267997.0,,26.1551249,50.5344606,39.7837304,-100.445882
2015,2015.0,Export,Bahrain,Venezuela,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",138239.0,,26.1551249,50.5344606,8.0018709,-66.1109318
2015,2015.0,Export,Bahrain,Yemen,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11035.0,,26.1551249,50.5344606,16.3471243,47.8915271
2015,2015.0,Export,Bahrain,"Areas, nes",68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11444.0,,26.1551249,50.5344606,,
