yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,3218,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,24,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,259266,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,18238,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,10662,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,600,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,48712,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,2831,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,28718,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,131319,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,14942,29.2733964,47.4979476,,
