yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,30133,25.62,42.35,39.89317229901691,61.060280637304274
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,128533,25.62,42.35,51.67568633314729,27.673469819741847
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,765601,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,144800,25.62,42.35,59.36075159783851,25.01346951967388
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2616270,25.62,42.35,25.499703063807168,75.5024015339642
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,28533,25.62,42.35,40.12399607988535,20.742583178432696
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,61600,25.62,42.35,6.06272746187266,22.727528470146083
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3106937,25.62,42.35,26.42921218083572,52.86847103284948
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,16328554,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,674934,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,31467,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,27467,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3749071,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,1701602,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,1231735,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,98933,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,75733,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,185334,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,104000,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,940801,25.62,42.35,,
2004,2004,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,469601,25.62,42.35,,
