yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,2519,33.87,35.84,,
2016,2016,Export,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,2189,33.87,35.84,,
2016,2016,Export,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,330,33.87,35.84,,
