yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,3179213,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2708,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1003,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1687723,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1003,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,903,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,24096792,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,148244,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Djibouti, Djibouti,28884,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,1467568,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,111265,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,9495,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,13736,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,6868,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,4663792,25.3336984,51.2295295,,
2006,2006,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,580978,25.3336984,51.2295295,,
