yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,3788019,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,5119891,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,202731,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,204574,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1488980,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,455712,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,788654,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,234029,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,46299,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1165135,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,World,World,116401028,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Armenia, Armenia,10463,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,12141,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,742162,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,933,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,36133868,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,9999675,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,15484,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,26055315,16.3471243,47.8915271,,
2007,2007,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,621830,16.3471243,47.8915271,,
