yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,16,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,7798,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,16460,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,8,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,World,World,1154115,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,44863,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Georgia, Georgia,38,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Israel, Israel,9825,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,60814,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,243672,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,64209,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,57210,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,8513,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,56717,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,41264,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,364526,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,7205,34.9823018,33.1451285,,
