yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,251795,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1006851,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,989262,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1308665,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,39379857,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,12713539,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,347438,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,149019745,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,1570113,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,7408336,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,5890946,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,1701382,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,37000461,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,1133841,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Mauritania, Mauritania,5127937,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,677205,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,3398524,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,6137404,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,3724728,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,19176339,31.1728205,-7.3362482,,
