yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Morocco,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,3885846,31.17,-7.33,,
2019,2019,Export,Morocco,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,1657995,31.17,-7.33,,
2019,2019,Export,Morocco,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Mauritania, Mauritania,2227850,31.17,-7.33,,
