yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,756109,32.3293809,-83.1137366,-16.85099460447687,133.4130365630627
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,23000,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,19812007,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1290,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1284474,32.3293809,-83.1137366,17.925141963241547,-78.01492950057497
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,815117,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,3360736,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,6760,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,258123,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,911254,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,4292482,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,World,World,33293450,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,844376,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Azerbaijan, Azerbaijan,220394,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Israel, Israel,503,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,1500,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,62720,32.3293809,-83.1137366,,
