yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,6274,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,7908,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1843,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,153457,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin,World,World,1198312,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,26956,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,1667,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,260191,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,13336,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,1229,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,14854,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,43118,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,14841,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,39624,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,59277,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,440806,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,106095,35.8885993,14.4476911,,
2006,2006,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,6833,35.8885993,14.4476911,,
