yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,22586,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,48,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,291506,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,72,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,8,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,275073,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,16,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,25851,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1368,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,World,World,29853447,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Armenia, Armenia,464525,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Azerbaijan, Azerbaijan,28772374,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,17,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,2,32.3293809,-83.1137366,,
