yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Re-Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,142,33.8750629,35.843409,59.36075159783851,25.01346951967388
2020,2020,Re-Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,12000,33.8750629,35.843409,26.42921218083572,52.86847103284948
2020,2020,Re-Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,12191,33.8750629,35.843409,,
