yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2104
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,30849
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,6148644
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,22500
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,10582
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,68546
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,15940
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1051717
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,24077662
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,447840
2008,2008,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,World,World,74141677
