yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,90973,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1050,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,608491,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,181006,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,17378,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,901127,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,7014,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,2324,40.7696272,44.6736646,6.06272746187266,22.727528470146083
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,175767,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,109317,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,World,World,2258370,40.7696272,44.6736646,,
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials, Georgia, Georgia,156162,40.7696272,44.6736646,,
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,1316,40.7696272,44.6736646,,
2005,2005,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,6443,40.7696272,44.6736646,,
