yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,9570,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,741425,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,12121170,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,18796321,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,456266,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,14148875,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,3868152,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,15197043,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,42932,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2350456,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,18399027,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,5162428,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,361679,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,14766776,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2002,2002,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,World,World,129541483,38.9597594,34.9249653,,
