yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Import,Lebanon,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1646341690.0,,33.8750629,35.843409,-36.8535712,174.7456809
2015,2015.0,Import,Lebanon,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",119.0,,33.8750629,35.843409,41.000028,19.9999619
2015,2015.0,Import,Lebanon,Andorra,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12279.0,,33.8750629,35.843409,42.5407167,1.5732033
2015,2015.0,Import,Lebanon,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",79427.0,,33.8750629,35.843409,-34.9964963,-64.9672817
2015,2015.0,Import,Lebanon,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1694816.0,,33.8750629,35.843409,-24.7761086,134.755
2015,2015.0,Import,Lebanon,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7193100.0,,33.8750629,35.843409,47.59397,14.12456
2015,2015.0,Import,Lebanon,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",315.0,,33.8750629,35.843409,24.4769288,90.2934413
2015,2015.0,Import,Lebanon,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3816583.0,,33.8750629,35.843409,50.6402809,4.6667145
2015,2015.0,Import,Lebanon,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33367.0,,33.8750629,35.843409,44.3053476,17.5961467
2015,2015.0,Import,Lebanon,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",929640.0,,33.8750629,35.843409,-10.3333333,-53.2
2015,2015.0,Import,Lebanon,Br. Indian Ocean Terr.,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20083.0,,33.8750629,35.843409,40.240058,-74.075567
2015,2015.0,Import,Lebanon,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14942.0,,33.8750629,35.843409,42.6073975,25.4856617
2015,2015.0,Import,Lebanon,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1460.0,,33.8750629,35.843409,53.4250605,27.6971358
2015,2015.0,Import,Lebanon,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",50379.0,,33.8750629,35.843409,12.5433216,104.8144914
2015,2015.0,Import,Lebanon,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27216963.0,,33.8750629,35.843409,61.0666922,-107.991707
2015,2015.0,Import,Lebanon,Central African Rep.,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23117.0,,33.8750629,35.843409,,
2015,2015.0,Import,Lebanon,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54293849.0,,33.8750629,35.843409,35.000074,104.999927
2015,2015.0,Import,Lebanon,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2.0,,33.8750629,35.843409,4.099917,-72.9088133
2015,2015.0,Import,Lebanon,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",78.0,,33.8750629,35.843409,10.2735633,-84.0739102
2015,2015.0,Import,Lebanon,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",768.0,,33.8750629,35.843409,45.5643442,17.0118954
2015,2015.0,Import,Lebanon,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30216.0,,33.8750629,35.843409,34.9823018,33.1451285
2015,2015.0,Import,Lebanon,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2024283.0,,33.8750629,35.843409,49.7439047,15.3381061
2015,2015.0,Import,Lebanon,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",231344.0,,33.8750629,35.843409,55.670249,10.3333283
2015,2015.0,Import,Lebanon,Dominican Rep.,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54.0,,33.8750629,35.843409,,
2015,2015.0,Import,Lebanon,El Salvador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26.0,,33.8750629,35.843409,13.8000382,-88.9140683
2015,2015.0,Import,Lebanon,Equatorial Guinea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",932.0,,33.8750629,35.843409,1.613172,10.5170357
2015,2015.0,Import,Lebanon,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22694.0,,33.8750629,35.843409,58.7523778,25.3319078
2015,2015.0,Import,Lebanon,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1158.0,,33.8750629,35.843409,63.2467777,25.9209164
2015,2015.0,Import,Lebanon,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27710852.0,,33.8750629,35.843409,46.603354,1.8883335
2015,2015.0,Import,Lebanon,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",443120478.0,,33.8750629,35.843409,51.1638175,10.4478313
2015,2015.0,Import,Lebanon,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",229847.0,,33.8750629,35.843409,38.9953683,21.9877132
2015,2015.0,Import,Lebanon,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5280.0,,33.8750629,35.843409,22.350627,114.1849161
