yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,7865,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,214036,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,87275,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,69479,35.8885993,14.4476911,,
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,64606,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,27283,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,588750,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4925,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,21113979,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,96835,35.8885993,14.4476911,,
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,277550,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1078125,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,World,World,23807903,35.8885993,14.4476911,,
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials, Israel, Israel,29192,35.8885993,14.4476911,,
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,2605,35.8885993,14.4476911,,
2005,2005,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,11,35.8885993,14.4476911,,
