yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1238765,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,18975,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,2065,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,10996,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,2473932,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,14016142,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3412071,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,105349,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,5789332,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,35896679,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,193702,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Israel, Israel,74712,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,231184,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,2159951,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,520367,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,14553,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,145643,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,2497636,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,2820422,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,170755,34.9823018,33.1451285,,
