yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,11526,,,39.89317229901691,61.060280637304274
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,149562,,,37.977378106878206,73.97804075806764
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,1779996,,,51.67568633314729,27.673469819741847
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,644698,,,,
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,2338110,,,17.925141963241547,-78.01492950057497
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,18687822,,,43.897683433510366,-100.08947125585888
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1836,,,59.36075159783851,25.01346951967388
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,363196,,,25.499703063807168,75.5024015339642
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,473253,,,40.12399607988535,20.742583178432696
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,29985,,,6.06272746187266,22.727528470146083
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,7533323,,,26.42921218083572,52.86847103284948
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1759325,,,47.92172048214207,7.866753258497997
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,40910753,,,,
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,85981,,,,
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,187183,,,,
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,190225,,,,
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,88256,,,,
2011,2011,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,3033647,,,,
