yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,80,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8697,16.3471243,47.8915271,,
2008,2008,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,410,16.3471243,47.8915271,,
2008,2008,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,8206,16.3471243,47.8915271,,
