yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,6534942,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,1038401,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,3027204,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,146134,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,4358405,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,16614421,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,6367475,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,193867,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,3979205,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,234134,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,9377345,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,18394423,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,113146541,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Afghanistan, Afghanistan,94133,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,938401,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,20415226,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Malta, Malta,694934,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,645601,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,1768002,25.6242618,42.3528328,,
2010,2010,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,16099753,25.6242618,42.3528328,,
