yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,15867,31.1667049,36.941628,37.977378106878206,73.97804075806764
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,518801,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,5501,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,69621,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,217218,31.1667049,36.941628,59.36075159783851,25.01346951967388
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,18924,31.1667049,36.941628,10.528384761701911,103.08333472012376
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,812569,31.1667049,36.941628,40.12399607988535,20.742583178432696
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2564588,31.1667049,36.941628,26.42921218083572,52.86847103284948
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2879175,31.1667049,36.941628,47.92172048214207,7.866753258497997
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,8696213,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,52282,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,24824,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,4382,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,28150,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,2769,31.1667049,36.941628,,
2003,2003,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,1481545,31.1667049,36.941628,,
