yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,114133,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1090668,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,645601,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,689868,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,210934,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,29333,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,248534,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,World,World,4597606,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,63733,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,132800,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,519201,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,56000,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,312000,25.6242618,42.3528328,,
2002,2002,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,200800,25.6242618,42.3528328,,
