yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,rtLat,rtLon,ptLat_export,ptLon_export,mid,TradeValue_import,ptLat_import,ptLon_import
2020.0,2020.0,Export,Comoros,World,9.0,"Coffee, tea, mate and spices",12769018.0,,,-36.8535712,174.7456809,92020Comoros,213438.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,18.0,Cocoa and cocoa preparations,14424.0,,,-36.8535712,174.7456809,182020Comoros,463299.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,22.0,"Beverages, spirits and vinegar",134492.0,,,-36.8535712,174.7456809,222020Comoros,4975941.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,24.0,Tobacco and manufactured tobacco substitutes,26293.0,,,-36.8535712,174.7456809,242020Comoros,602797.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,25.0,"Salt; sulphur; earths, stone; plastering materials, lime and cement",387.0,,,-36.8535712,174.7456809,252020Comoros,24389539.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",3.0,,,-36.8535712,174.7456809,272020Comoros,23992119.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4713718.0,,,-36.8535712,174.7456809,332020Comoros,610317.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,40.0,Rubber and articles thereof,4779.0,,,-36.8535712,174.7456809,402020Comoros,1140859.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,42.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1158.0,,,-36.8535712,174.7456809,422020Comoros,216598.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,44.0,Wood and articles of wood; wood charcoal,1586.0,,,-36.8535712,174.7456809,442020Comoros,3517528.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,48.0,"Paper and paperboard; articles of paper pulp, of paper or paperboard",1779.0,,,-36.8535712,174.7456809,482020Comoros,1599501.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,49.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",16194.0,,,-36.8535712,174.7456809,492020Comoros,189137.0,-36.8535712,174.7456809
2020.0,2020.0,Export,Comoros,World,57.0,Carpets and other textile floor coverings,1595.0,,,-36.8535712,174.7456809,572020Comoros,106735.0,-36.8535712,174.7456809
