yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,118423,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2058024,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,12413,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,100410,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,692013,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2632427,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1195911,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,451283,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,956,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3970747,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,5216,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,360,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,121079,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,327065,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2859795,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,23681449,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,9349,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,39966,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,645,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,620802,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,4297810,29.2733964,47.4979476,,
2013,2013,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1787604,29.2733964,47.4979476,,
