yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,3774400,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,1889779,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,1040059,28.0000272,2.9999825,,
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,117197,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,22563,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,295549,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,3930758,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,49204,28.0000272,2.9999825,,
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,3496742,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,20234558,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,36098792,28.0000272,2.9999825,,
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,519466,28.0000272,2.9999825,,
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Morocco, Morocco,415860,28.0000272,2.9999825,,
2010,2010,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,18732,28.0000272,2.9999825,,
