yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,4320,31.46,34.26,37.977378106878206,73.97804075806764
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,324,31.46,34.26,51.67568633314729,27.673469819741847
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,544,31.46,34.26,17.925141963241547,-78.01492950057497
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,64186,31.46,34.26,43.897683433510366,-100.08947125585888
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,76059,31.46,34.26,59.36075159783851,25.01346951967388
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,223,31.46,34.26,10.528384761701911,103.08333472012376
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,6914985,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Algeria, Algeria,143,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,5750,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,5972690,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,646058,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,13047,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,49,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,5737,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,35926,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,85698,31.46,34.26,,
2014,2014,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,4232,31.46,34.26,,
