yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,1560,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2014,2014,Export,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,749,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2014,2014,Export,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,2309,21.0000287,57.0036901,,
