yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,12949,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,48400,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,3,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,12478,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,80352,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,700530,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,141629,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,World,World,2337693,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Djibouti, Djibouti,90179,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,4123,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,100,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,100,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,1069,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,548664,16.3471243,47.8915271,,
2008,2008,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,666418,16.3471243,47.8915271,,
