yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,30158,31.17,-7.33,,
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2,31.17,-7.33,17.925141963241547,-78.01492950057497
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,50,31.17,-7.33,59.36075159783851,25.01346951967388
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,57226,31.17,-7.33,10.528384761701911,103.08333472012376
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,13399,31.17,-7.33,40.12399607988535,20.742583178432696
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,761390,31.17,-7.33,6.06272746187266,22.727528470146083
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,38150,31.17,-7.33,,
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,35014,31.17,-7.33,47.92172048214207,7.866753258497997
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1607936,31.17,-7.33,,
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,122,31.17,-7.33,,
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,553,31.17,-7.33,,
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,671093,31.17,-7.33,,
2019,2019,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,749,31.17,-7.33,,
