rtTitle,Subregion,rgDesc,TradeValue
Azerbaijan,Afghanistan,Export,71537935
Azerbaijan,Afghanistan,Import,1596
Azerbaijan,Algeria,Export,8571
Azerbaijan,Algeria,Import,1412144
Azerbaijan,Bahrain,Export,330624
Azerbaijan,Bahrain,Import,367723
Azerbaijan,Comoros,Import,17168
Azerbaijan,Cyprus,Export,818034
Azerbaijan,Cyprus,Import,809862
Azerbaijan,Georgia,Export,495114666
Azerbaijan,Georgia,Import,92542004
Azerbaijan,Iraq,Export,14494005
Azerbaijan,Iraq,Import,100717
Azerbaijan,Israel,Export,1310821758
Azerbaijan,Israel,Import,19835108
Azerbaijan,Jordan,Export,1447794
Azerbaijan,Jordan,Import,5598928
Azerbaijan,Kuwait,Export,618918
Azerbaijan,Kuwait,Import,1238702
Azerbaijan,Lebanon,Export,14193905
Azerbaijan,Lebanon,Import,605055
Azerbaijan,Malta,Export,69721376
Azerbaijan,Malta,Import,105024
Azerbaijan,Mauritania,Export,6000
Azerbaijan,Mauritania,Import,76628
Azerbaijan,Morocco,Export,380
Azerbaijan,Morocco,Import,4442960
Azerbaijan,Oman,Export,605481
Azerbaijan,Oman,Import,2560587
Azerbaijan,Pakistan,Export,808128
Azerbaijan,Pakistan,Import,10350414
Azerbaijan,Qatar,Export,3319763
Azerbaijan,Qatar,Import,283290
Azerbaijan,Saudi Arabia,Export,851217
Azerbaijan,Saudi Arabia,Import,17641842
Azerbaijan,State of Palestine,Import,207170
Azerbaijan,United Arab Emirates,Export,22029628
Azerbaijan,United Arab Emirates,Import,31149831
