yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,28216,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,8322,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,13456,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,11836,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,138928,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,645668,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,114975,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,161508,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,65357986,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,369434,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,167211,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,35562460,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,7688368,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,201994,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,332816,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,495744,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,4086619,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,10590604,21.0000287,57.0036901,,
2002,2002,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,693998,21.0000287,57.0036901,,
