yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,641733,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,203463,31.1667049,36.941628,51.67568633314729,27.673469819741847
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,31140,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,70610,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,36644750,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,488,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,31407238,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,11628,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,206407,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,90859,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,40574,31.1667049,36.941628,,
