yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,1056812,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,27454,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,2297,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Melanesia,Oceania,44967,26.1551249,50.5344606,1.0108650891006263,147.3257485906919
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,20697,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,62378,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,25430,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,14587,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,50505,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,20965,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,282491,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,1867336,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Lebanon, Lebanon,1709,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Oman, Oman,13396,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,35095,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,27934,26.1551249,50.5344606,,
