yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,26927,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,140154,31.1667049,36.941628,37.977378106878206,73.97804075806764
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,287227,31.1667049,36.941628,51.67568633314729,27.673469819741847
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,90473,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,68614,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,311969,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,921722,31.1667049,36.941628,59.36075159783851,25.01346951967388
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,536367,31.1667049,36.941628,10.528384761701911,103.08333472012376
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,514,31.1667049,36.941628,25.499703063807168,75.5024015339642
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,2129968,31.1667049,36.941628,40.12399607988535,20.742583178432696
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,5438807,31.1667049,36.941628,26.42921218083572,52.86847103284948
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,4372140,31.1667049,36.941628,47.92172048214207,7.866753258497997
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,19027996,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,161542,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,20058,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,46014,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,33425,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,25401,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,1969984,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,31548,31.1667049,36.941628,,
2009,2009,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,1465008,31.1667049,36.941628,,
