yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Import,Mauritania,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",152869494.0,,20.2540382,-9.2399263,-36.8535712,174.7456809
2017,2017.0,Import,Mauritania,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5370.0,,20.2540382,-9.2399263,41.000028,19.9999619
2017,2017.0,Import,Mauritania,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24312.0,,20.2540382,-9.2399263,28.0000272,2.9999825
2017,2017.0,Import,Mauritania,Andorra,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",53709.0,,20.2540382,-9.2399263,42.5407167,1.5732033
2017,2017.0,Import,Mauritania,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6042.0,,20.2540382,-9.2399263,-11.8775768,17.5691241
2017,2017.0,Import,Mauritania,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",390819.0,,20.2540382,-9.2399263,-24.7761086,134.755
2017,2017.0,Import,Mauritania,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9764975.0,,20.2540382,-9.2399263,50.6402809,4.6667145
2017,2017.0,Import,Mauritania,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12556.0,,20.2540382,-9.2399263,-10.3333333,-53.2
2017,2017.0,Import,Mauritania,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",57245.0,,20.2540382,-9.2399263,42.6073975,25.4856617
2017,2017.0,Import,Mauritania,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16897.0,,20.2540382,-9.2399263,4.6125522,13.1535811
2017,2017.0,Import,Mauritania,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",723119.0,,20.2540382,-9.2399263,61.0666922,-107.991707
2017,2017.0,Import,Mauritania,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6468893.0,,20.2540382,-9.2399263,35.000074,104.999927
2017,2017.0,Import,Mauritania,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",69.0,,20.2540382,-9.2399263,49.7439047,15.3381061
2017,2017.0,Import,Mauritania,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11133.0,,20.2540382,-9.2399263,55.670249,10.3333283
2017,2017.0,Import,Mauritania,Ecuador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11528.0,,20.2540382,-9.2399263,-1.3397668,-79.3666965
2017,2017.0,Import,Mauritania,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11526.0,,20.2540382,-9.2399263,63.2467777,25.9209164
2017,2017.0,Import,Mauritania,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9106132.0,,20.2540382,-9.2399263,46.603354,1.8883335
2017,2017.0,Import,Mauritania,Gabon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",64599.0,,20.2540382,-9.2399263,-0.8999695,11.6899699
