yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,819,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,91,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,3423,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,8,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,587,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,19,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,324,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,225070,32.3293809,-83.1137366,,
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,36,32.3293809,-83.1137366,,
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,202799,32.3293809,-83.1137366,,
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,16769,32.3293809,-83.1137366,,
2018,2018,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,190,32.3293809,-83.1137366,,
