yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Import,Israel,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7620717000.0,,30.8124247,34.8594762,-36.8535712,174.7456809
2021,2021.0,Import,Israel,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3000.0,,30.8124247,34.8594762,41.000028,19.9999619
2021,2021.0,Import,Israel,Antigua and Barbuda,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14000.0,,30.8124247,34.8594762,17.2234721,-61.9554608
2021,2021.0,Import,Israel,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2000.0,,30.8124247,34.8594762,40.3936294,47.7872508
2021,2021.0,Import,Israel,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",184000.0,,30.8124247,34.8594762,-34.9964963,-64.9672817
2021,2021.0,Import,Israel,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2383000.0,,30.8124247,34.8594762,-24.7761086,134.755
2021,2021.0,Import,Israel,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",64170000.0,,30.8124247,34.8594762,47.59397,14.12456
2021,2021.0,Import,Israel,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1000.0,,30.8124247,34.8594762,26.1551249,50.5344606
2021,2021.0,Import,Israel,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27000.0,,30.8124247,34.8594762,24.4769288,90.2934413
2021,2021.0,Import,Israel,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",236419000.0,,30.8124247,34.8594762,50.6402809,4.6667145
2021,2021.0,Import,Israel,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5000.0,,30.8124247,34.8594762,44.3053476,17.5961467
2021,2021.0,Import,Israel,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2078000.0,,30.8124247,34.8594762,-10.3333333,-53.2
2021,2021.0,Import,Israel,Belize,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19000.0,,30.8124247,34.8594762,16.8259793,-88.7600927
2021,2021.0,Import,Israel,Brunei Darussalam,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1000.0,,30.8124247,34.8594762,4.4137155,114.5653908
2021,2021.0,Import,Israel,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",260000.0,,30.8124247,34.8594762,42.6073975,25.4856617
2021,2021.0,Import,Israel,Myanmar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3000.0,,30.8124247,34.8594762,17.1750495,95.9999652
2021,2021.0,Import,Israel,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",120000.0,,30.8124247,34.8594762,53.4250605,27.6971358
2021,2021.0,Import,Israel,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",135000.0,,30.8124247,34.8594762,12.5433216,104.8144914
2021,2021.0,Import,Israel,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13351000.0,,30.8124247,34.8594762,61.0666922,-107.991707
2021,2021.0,Import,Israel,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",569000.0,,30.8124247,34.8594762,7.5554942,80.7137847
2021,2021.0,Import,Israel,Chile,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7000.0,,30.8124247,34.8594762,-31.7613365,-71.3187697
2021,2021.0,Import,Israel,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",736101000.0,,30.8124247,34.8594762,35.000074,104.999927
2021,2021.0,Import,Israel,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2000.0,,30.8124247,34.8594762,4.099917,-72.9088133
2021,2021.0,Import,Israel,Dem. Rep. of the Congo,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11000.0,,30.8124247,34.8594762,,
2021,2021.0,Import,Israel,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",141000.0,,30.8124247,34.8594762,45.5643442,17.0118954
2021,2021.0,Import,Israel,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1199000.0,,30.8124247,34.8594762,34.9823018,33.1451285
2021,2021.0,Import,Israel,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",497203000.0,,30.8124247,34.8594762,49.7439047,15.3381061
2021,2021.0,Import,Israel,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",699000.0,,30.8124247,34.8594762,55.670249,10.3333283
2021,2021.0,Import,Israel,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",102000.0,,30.8124247,34.8594762,58.7523778,25.3319078
2021,2021.0,Import,Israel,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2522000.0,,30.8124247,34.8594762,63.2467777,25.9209164
2021,2021.0,Import,Israel,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",268385000.0,,30.8124247,34.8594762,46.603354,1.8883335
2021,2021.0,Import,Israel,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",131000.0,,30.8124247,34.8594762,32.3293809,-83.1137366
2021,2021.0,Import,Israel,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",727143000.0,,30.8124247,34.8594762,51.1638175,10.4478313
2021,2021.0,Import,Israel,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2177000.0,,30.8124247,34.8594762,38.9953683,21.9877132
2021,2021.0,Import,Israel,Guatemala,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1000.0,,30.8124247,34.8594762,15.5855545,-90.345759
2021,2021.0,Import,Israel,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3185000.0,,30.8124247,34.8594762,22.350627,114.1849161
2021,2021.0,Import,Israel,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",146026000.0,,30.8124247,34.8594762,47.1817585,19.5060937
