yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,220395,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,1525,30.3308401,71.247499,39.89317229901691,61.060280637304274
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,18397463,30.3308401,71.247499,37.977378106878206,73.97804075806764
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,445035,30.3308401,71.247499,51.67568633314729,27.673469819741847
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,47166,30.3308401,71.247499,,
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,50609,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Melanesia,Oceania,6050,30.3308401,71.247499,1.0108650891006263,147.3257485906919
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4922418,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,13573648,30.3308401,71.247499,59.36075159783851,25.01346951967388
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,6005258,30.3308401,71.247499,10.528384761701911,103.08333472012376
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,71348,30.3308401,71.247499,25.499703063807168,75.5024015339642
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1746949,30.3308401,71.247499,40.12399607988535,20.742583178432696
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,92608,30.3308401,71.247499,6.06272746187266,22.727528470146083
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1416209,30.3308401,71.247499,26.42921218083572,52.86847103284948
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,6920958,30.3308401,71.247499,47.92172048214207,7.866753258497997
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,62005533,30.3308401,71.247499,,
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,300,30.3308401,71.247499,,
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,868090,30.3308401,71.247499,,
2016,2016,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,411466,30.3308401,71.247499,,
