yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1618,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2009,2009,Import,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,36608,33.7680065,66.2385139,,
2009,2009,Import,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,14084,33.7680065,66.2385139,,
