yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,337359,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,39663,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,376526,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,541008,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,538787,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,139799,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,461823,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1542541,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,World,World,20685728,33.7680065,66.2385139,,
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,3855027,33.7680065,66.2385139,,
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,26292,33.7680065,66.2385139,,
2009,2009,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,208062,33.7680065,66.2385139,,
