yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,109362,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,30866,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,590,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,12852525,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,29756314,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,280480,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,921776,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,31240,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,15488,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,199516,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,10156,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,2086441,21.0000287,57.0036901,,
2002,2002,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,13217872,21.0000287,57.0036901,,
