yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,100353,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,2083627,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,308409,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,9126,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,230051,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,902090,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,729179,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,896036,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,16250,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,15274016,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,20787103,38.9597594,34.9249653,,
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,14973,38.9597594,34.9249653,,
2007,2007,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,7932,38.9597594,34.9249653,,
