yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,6240,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,44155,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1463889,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Melanesia,Oceania,1721,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,76429,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,542920,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,64200,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,503207,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1609,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,7216413,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,World,World,10155812,38.9597594,34.9249653,,
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,5926,38.9597594,34.9249653,,
2003,2003,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Israel, Israel,93908,38.9597594,34.9249653,,
