yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,36318,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,537549,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,163785,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,32949,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,623,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,53672,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,429595,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,8919,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,1272335,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,16841,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,19644,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,740363,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,3824310,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Bahrain, Bahrain,33,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Israel, Israel,1649,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,99345,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Lebanon, Lebanon,6776,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,3292,34.9823018,33.1451285,,
2007,2007,Import,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,374,34.9823018,33.1451285,,
