yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,382912,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,4610,20.2540382,-9.2399263,,
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4246,20.2540382,-9.2399263,43.897683433510366,-100.08947125585888
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,420,20.2540382,-9.2399263,59.36075159783851,25.01346951967388
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2689,20.2540382,-9.2399263,25.499703063807168,75.5024015339642
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,134714,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,3298,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,201489,20.2540382,-9.2399263,,
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,7839,20.2540382,-9.2399263,26.42921218083572,52.86847103284948
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,565682,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1348940,20.2540382,-9.2399263,,
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,3074,20.2540382,-9.2399263,,
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes, Morocco, Morocco,25368,20.2540382,-9.2399263,,
2017,2017,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,12590,20.2540382,-9.2399263,,
