yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2006,2006,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,6723
2006,2006,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,22025
2006,2006,Re-Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,153580
