yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,65216843,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,2277827,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,14408642,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,5474890,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,5514251,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,104804185,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,21243978,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,49,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,113,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,8448462,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,118880,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,217692,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,143982106,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2014,2014,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,377072095,31.1728205,-7.3362482,,
